"Pergunta","Resposta","Categoria"
"Ele trabalhou com Big Data como Analista de Processos?","Sim, ele montou Big Data no GCP para consolidar informações.","Experiência"
"Qual é a função atual de Vincent na DHL?","Ele é Analista de Projetos na conta Stellantis.","Experiência"
"Quais são suas responsabilidades atuais?","Ele desenvolve dashboards em Power BI e mantém ferramentas no Power Apps, Python e VBA.","Experiência"
"Vincent é proficiente em SQL?","Sim, ele tem nível Avançado em SQL.","Habilidades"
"Em quais ferramentas de automação ele é habilidoso?","Ele tem nível Avançado em UiPath e Power Automate.","Habilidades"
"Qual é a experiência dele com Azure?","Sua experiência com Azure é de nível Intermediário.","Habilidades"
"E quanto às suas habilidades de desenvolvimento web?","Ele tem nível Avançado em HTML + CSS e Intermediário Superior em React Native.","Habilidades"
"Com quais metodologias ele está familiarizado?","Ele conhece Lean Manufacturing, Kaizen, Pareto, Kanban e Scrum.","Habilidades"
"Onde ele obteve sua certificação em React Native?","Ele fez um curso da Hashtag.","Certificação"
"Ele criou alguma ferramenta personalizada na DHL?","Sim, como Cientista de Dados ele criou ferramentas personalizadas de gestão de projetos.","Experiência"
"Qual é a formação educacional de Vincent além da graduação atual?","Ele cursou Engenharia de Produção na UFMG e tem um curso Técnico em Mecânica.","Educação"
"Qual é a proficiência de Vincent em C#?","Seu nível em C# é Intermediário.","Habilidades"
"Ele está familiarizado com modelagem de dados?","Sim, ele tem nível Avançado em Redes Neurais, Modelos Preditivos e Modelagem de Dados.","Habilidades"
"Qual foi uma tarefa chave de extração de dados que ele realizou?","Ele escreveu queries complexas para extrair dados de sistemas como SAP, GCP e Snowflake.","Experiência"
"Como ele usou a automação em sua função de Cientista de Dados?","Ele automatizou sistemas de aprovação e o envio de e-mails e mensagens.","Experiência"
"Quais bibliotecas de Python ele utilizou para dados?","Ele aplicou pandas, NumPy, openpyxl e xlwing.","Experiência"
"Qual é o e-mail de contato de Vincent?","O e-mail dele é pernarhvincent@gmail.com.","Pessoal"
"Qual é o perfil do Vincent no LinkedIn?","https://www.linkedin.com/in/vincent-pernarh/","Pessoal"
"Qual é o perfil do Vincent no Github?","https://github.com/Vincentpernarh1","Pessoal"
"Qual é a proficiência de Vincent em R e RStudio?","Seu nível em R e RStudio é Avançado.","Habilidades"
"Vincent tem experiência com Tableau?","Sim, seu nível é Básico e ele possui certificação do LinkedIn.","Habilidades"
"Qual é o nível de Vincent em DAX?","Seu nível em DAX é Avançado.","Habilidades"
"Qual é o nível de Vincent em Power Query M?","Seu nível em Power Query M é Avançado.","Habilidades"
"Ele estudou Python na UFMG?","Sim, ele cursou Python para Processamento de Dados e Python para Aplicações Web na UFMG.","Certificação"
"Ele recebeu algum treinamento em oratória?","Sim, ele tem certificação em Oratória com PNL.","Certificação"
"Qual foi o foco do estágio de Vincent na Stellantis?","O estágio foi em Supply Chain Management.","Experiência"
"O estágio dele envolveu previsão?","Sim, envolveu Projeção e Forecast de resultados.","Experiência"
"Que tipo de relatórios ele automatizou como estagiário?","Ele automatizou o relatório de pedidos de compra (PO).","Experiência"
"Qual é a língua nativa de Vincent?","Sua língua nativa é o Inglês.","Idiomas"
"Qual é a fluência dele em português?","Ele é fluente em Português.","Idiomas"
"Qual é o nível dele em francês e espanhol?","Ele tem nível Básico em Francês e Espanhol.","Idiomas"
